Title,Category,Published Time,URL
BSW fordert Abschaffung der Zusatzbeiträge für Krankenkassen: Pläne sind nichts als „Utopien“,http://www.merkur.de/wirtschaft,21:12:00,https://www.merkur.de/wirtschaft/bsw-fordert-abschaffung-der-zusatzbeitraege-fuer-krankenkassen-zr-93510009.html
„Ich muss mich verstecken“: Jüdische Menschen in Deutschland haben Angst,https://www.merkur.de/,21:12:00,https://www.merkur.de/politik/ich-muss-mich-verstecken-juedische-menschen-in-deutschland-haben-angst-zr-93510007.html
Kommunen verschicken Grundsteuerbescheide: Was Eigentümer in Bayern jetzt wissen müssen,https://www.merkur.de/,21:21:00,https://www.merkur.de/bayern/neue-grundsteuer-in-bayern-was-eigentuemer-jetzt-wissen-muessen-93510011.html
tz,Geschichte geschrieben: Kölner Karneval hat das erste homosexuelle Dreigestirn,https://www.tz.de/welt/rssfeed.rdf,15:18:00,https://www.tz.de/welt/der-koelner-karneval-hat-das-erste-homosexuelle-dreigestirn-zr-93509803.html
tz,"„Unverzeihlich“: Psychologin erklärt, wieso wir bei einem Partner bleiben, der uns schlecht behandelt",https://www.tz.de/welt/rssfeed.rdf,14:22:00,https://www.tz.de/welt/psychologin-erklaert-wieso-wir-bei-einem-partner-bleiben-der-uns-schlecht-behandelt-zr-93509765.html
tz,Nächster Ausbruch in Urlaubsregion: Österreich-Behörde schlägt Virus-Alarm,https://www.tz.de/welt/rssfeed.rdf,13:50:00,https://www.tz.de/welt/ausbruch-in-urlaubsregion-oesterreich-behoerde-schlaegt-virus-alarm-zr-93509732.html
tz,Baden-Württemberg beheimatet eines der schönsten Skigebiete Deutschlands,https://www.tz.de/welt/rssfeed.rdf,18:58:00,https://www.tz.de/welt/deutschlands-baden-wuerttemberg-beheimatet-schoensten-skigebiete-zr-93509649.html
tz,Hai tötet ZDF-Taucher – Produzenten teilen traurige Nachricht im Film,https://www.tz.de/welt/rssfeed.rdf,18:55:00,https://www.tz.de/welt/hai-toetet-zdf-taucher-produzenten-teilen-traurige-nachricht-im-film-zr-93509581.html
tz,Großwetterlage nahezu lahmgelegt: Meteorologe erklärt aktuelles Winter-Phänomen,https://www.tz.de/welt/rssfeed.rdf,10:34:00,https://www.tz.de/welt/grosswetterlage-nahezu-lahmgelegt-meteorologe-erklaert-aktuelles-winter-phaenomen-zr-93509571.html
tz,"Das ist Deutschlands einzige Buslinie, die übers Wasser führt",https://www.tz.de/welt/rssfeed.rdf,09:42:00,https://www.tz.de/welt/einzige-buslinie-deutschland-ueber-wasser-kurios-nahverkehr-zr-93509509.html
tz,Brände in Los Angeles: Zahl der Todesopfer steigt – Gesundheitsnotstand ausgerufen,https://www.tz.de/welt/rssfeed.rdf,14:42:00,https://www.tz.de/welt/braende-in-los-angeles-zahl-der-toten-steigt-gesundheitsnotstand-ausgerufen-zr-93509493.html
tz,Trump greift nach Grönland: So ist das Leben auf der größten Insel der Welt,https://www.tz.de/welt/rssfeed.rdf,07:30:00,https://www.tz.de/welt/trump-greift-nach-groenland-so-ist-das-leben-auf-der-insel-zr-93509438.html
tz,"Klima-Experte ist erschüttert – Copernicus bestätigt: 1,5-Grad-Erwärmungsschwelle 2024 erstmals überschritten",https://www.tz.de/welt/rssfeed.rdf,07:02:00,https://www.tz.de/welt/klimaexperte-erschuettert-copernicus-bestaetigung-2024-erste-jahr-erwaermungsschwelle-ueberschritten-zr-93509415.html
tz,Bedeutender Fund in der Antarktis: Entdeckung könnte „faszinierendes“ Eis-Rätsel endlich lösen,https://www.tz.de/welt/rssfeed.rdf,18:55:00,https://www.tz.de/welt/bedeutender-fund-in-der-antarktis-entdeckung-koennte-faszinierendes-eis-raetsel-endlich-loesen-zr-93509414.html
